Date,Sales
01/01/2013,770
02/01/2013,1038
03/01/2013,887
04/01/2013,1054
05/01/2013,1355
06/01/2013,716
07/01/2013,703
08/01/2013,626
09/01/2013,755
10/01/2013,632
11/01/2013,979
12/01/2013,1368
13/01/2013,748
14/01/2013,664
15/01/2013,644
16/01/2013,775
17/01/2013,640
18/01/2013,971
19/01/2013,1494
20/01/2013,816
21/01/2013,754
22/01/2013,692
23/01/2013,795
24/01/2013,691
25/01/2013,1041
26/01/2013,1635
27/01/2013,845
28/01/2013,714
29/01/2013,664
30/01/2013,868
31/01/2013,714
01/02/2013,1151
02/02/2013,1882
03/02/2013,1058
04/02/2013,930
05/02/2013,874
06/02/2013,1047
07/02/2013,1121
08/02/2013,1835
09/02/2013,3091
10/02/2013,3331
11/02/2013,2763
12/02/2013,1420
13/02/2013,1239
14/02/2013,1237
15/02/2013,1064
16/02/2013,975
17/02/2013,499
18/02/2013,743
19/02/2013,732
20/02/2013,895
21/02/2013,853
22/02/2013,1259
23/02/2013,1848
24/02/2013,999
25/02/2013,956
26/02/2013,793
27/02/2013,934
28/02/2013,859
01/03/2013,1422
02/03/2013,2014
03/03/2013,1067
04/03/2013,910
05/03/2013,830
06/03/2013,975
07/03/2013,869
08/03/2013,1342
09/03/2013,1875
10/03/2013,997
11/03/2013,896
12/03/2013,904
13/03/2013,992
14/03/2013,911
15/03/2013,1306
16/03/2013,1701
17/03/2013,926
18/03/2013,896
19/03/2013,824
20/03/2013,982
21/03/2013,866
22/03/2013,1322
23/03/2013,1846
24/03/2013,939
25/03/2013,975
26/03/2013,849
27/03/2013,1138
28/03/2013,1597
29/03/2013,2442
30/03/2013,2345
31/03/2013,976
01/04/2013,909
02/04/2013,780
03/04/2013,961
04/04/2013,844
05/04/2013,1225
06/04/2013,1721
07/04/2013,904
08/04/2013,783
09/04/2013,749
10/04/2013,832
11/04/2013,782
12/04/2013,1099
13/04/2013,1574
14/04/2013,797
15/04/2013,774
16/04/2013,690
17/04/2013,831
18/04/2013,735
19/04/2013,1044
20/04/2013,1420
21/04/2013,790
22/04/2013,696
23/04/2013,679
24/04/2013,811
25/04/2013,703
26/04/2013,969
27/04/2013,1304
28/04/2013,788
29/04/2013,644
30/04/2013,698
01/05/2013,867
02/05/2013,732
03/05/2013,897
04/05/2013,1223
05/05/2013,689
06/05/2013,616
07/05/2013,614
08/05/2013,743
09/05/2013,658
10/05/2013,761
11/05/2013,992
12/05/2013,664
13/05/2013,520
14/05/2013,491
15/05/2013,706
16/05/2013,569
17/05/2013,779
18/05/2013,1010
19/05/2013,587
20/05/2013,584
21/05/2013,560
22/05/2013,652
23/05/2013,806
24/05/2013,1767
25/05/2013,1525
26/05/2013,710
27/05/2013,583
28/05/2013,555
29/05/2013,695
30/05/2013,603
31/05/2013,711
01/06/2013,947
02/06/2013,619
03/06/2013,567
04/06/2013,585
05/06/2013,692
06/06/2013,577
07/06/2013,758
08/06/2013,911
09/06/2013,583
10/06/2013,568
11/06/2013,527
12/06/2013,689
13/06/2013,624
14/06/2013,707
15/06/2013,902
16/06/2013,596
17/06/2013,559
18/06/2013,605
19/06/2013,639
20/06/2013,576
21/06/2013,804
22/06/2013,965
23/06/2013,630
24/06/2013,586
25/06/2013,515
26/06/2013,583
27/06/2013,536
28/06/2013,706
29/06/2013,982
30/06/2013,660
01/07/2013,613
02/07/2013,611
03/07/2013,672
04/07/2013,635
05/07/2013,776
06/07/2013,970
07/07/2013,651
08/07/2013,609
09/07/2013,588
10/07/2013,688
11/07/2013,621
12/07/2013,778
13/07/2013,1010
14/07/2013,632
15/07/2013,670
16/07/2013,619
17/07/2013,685
18/07/2013,647
19/07/2013,795
20/07/2013,967
21/07/2013,693
22/07/2013,657
23/07/2013,659
24/07/2013,725
25/07/2013,757
26/07/2013,895
27/07/2013,1092
28/07/2013,668
29/07/2013,686
30/07/2013,682
31/07/2013,754
01/08/2013,698
02/08/2013,842
03/08/2013,1101
04/08/2013,721
